Ticker,Sector
A,Healthcare
AACG,Consumer Defensive
AAL,Industrials
AAME,Financial Services
AAOI,Technology
AAON,Industrials
AAPL,Technology
ABBV,Healthcare
ABEO,Healthcare
ABT,Healthcare
ABTS,Financial Services
ABUS,Healthcare
ABVC,Healthcare
ACAD,Healthcare
ACB,Healthcare
ACGL,Financial Services
ACHC,Healthcare
ACHV,Healthcare
ACIC,Financial Services
ACIW,Technology
ACLS,Technology
ACN,Technology
ACNB,Financial Services
ACNT,Basic Materials
ACTG,Industrials
ADBE,Technology
ADD,Communication Services
ADEA,Technology
ADI,Technology
ADM,Consumer Defensive
ADMA,Healthcare
ADP,Technology
ADSK,Technology
ADTN,Technology
ADUS,Healthcare
ADVM,Healthcare
AEE,Utilities
AEHL,Industrials
AEHR,Technology
AEIS,Industrials
AEM,Basic Materials
AEMD,Healthcare
AEP,Utilities
AES,Utilities
AEYE,Technology
AFL,Financial Services
AGEN,Healthcare
AGIO,Healthcare
AGNC,Real Estate
AGYS,Technology
AIFF,Technology
AIFU,Financial Services
AIG,Financial Services
AIOT,Technology
AIRT,Industrials
AIZ,Financial Services
AJG,Financial Services
AKAM,Technology
AKBA,Healthcare
AKTX,Healthcare
ALB,Basic Materials
ALCO,Consumer Defensive
ALDX,Healthcare
ALGN,Healthcare
ALGT,Industrials
ALKS,Healthcare
ALL,Financial Services
ALLE,Industrials
ALLT,Technology
ALNT,Technology
ALNY,Healthcare
ALOT,Technology
ALRS,Financial Services
ALTO,Basic Materials
ALTS,Technology
AMAT,Technology
AMBA,Technology
AMCR,Consumer Cyclical
AMCX,Communication Services
AMD,Technology
AME,Industrials
AMED,Healthcare
AMGN,Healthcare
AMKR,Technology
AMP,Financial Services
AMPH,Healthcare
AMRK,Financial Services
AMRN,Healthcare
AMSC,Industrials
AMSF,Financial Services
AMT,Real Estate
AMTX,Basic Materials
AMWD,Consumer Cyclical
AMZN,Consumer Cyclical
ANDE,Consumer Defensive
ANET,Technology
ANGI,Communication Services
ANGO,Healthcare
ANIK,Healthcare
ANIP,Healthcare
ANIX,Healthcare
ANSS,Technology
ANTE,Communication Services
ANY,Financial Services
AON,Financial Services
AOS,Industrials
AOSL,Technology
APA,Energy
APD,Basic Materials
APDN,Healthcare
APEI,Consumer Defensive
APH,Technology
APO,Financial Services
APOG,Industrials
APPS,Technology
APTV,Consumer Cyclical
APWC,Industrials
ARAY,Healthcare
ARCB,Industrials
ARCC,Financial Services
ARCT,Healthcare
ARDX,Healthcare
ARE,Real Estate
ARKR,Consumer Cyclical
ARLP,Energy
AROW,Financial Services
ARQ,Industrials
ARTNA,Utilities
ARTW,Industrials
ARWR,Healthcare
ASMB,Healthcare
ASML,Technology
ASPS,Real Estate
ASRT,Healthcare
ASRV,Financial Services
ASTC,Technology
ASTE,Industrials
ASTH,Healthcare
ASUR,Technology
ASYS,Technology
ATEC,Healthcare
ATHE,Healthcare
ATLC,Financial Services
ATLO,Financial Services
ATNI,Communication Services
ATO,Utilities
ATOS,Healthcare
ATRA,Healthcare
ATRC,Healthcare
ATRO,Industrials
AUBN,Financial Services
AUDC,Technology
AUPH,Healthcare
AVAV,Industrials
AVB,Real Estate
AVDL,Healthcare
AVGO,Technology
AVNW,Technology
AVT,Technology
AVXL,Healthcare
AVY,Consumer Cyclical
AWK,Utilities
AWRE,Technology
AXGN,Healthcare
AXON,Industrials
AXP,Financial Services
AXTI,Technology
AYRO,Consumer Cyclical
AYTU,Healthcare
AZN,Healthcare
AZO,Consumer Cyclical
AZTA,Healthcare
BA,Industrials
BAC,Financial Services
BALL,Consumer Cyclical
BANF,Financial Services
BANFP,N/A
BANR,Financial Services
BANX,Financial Services
BAX,Healthcare
BBGI,Communication Services
BBSI,Industrials
BBY,Consumer Cyclical
BCAL,Financial Services
BCBP,Financial Services
BCDA,Healthcare
BCLI,Healthcare
BCML,Financial Services
BCPC,Basic Materials
BCRX,Healthcare
BCTX,Healthcare
BDX,Healthcare
BEEM,Technology
BELFA,Technology
BELFB,Technology
BEN,Financial Services
BFC,Financial Services
BFIN,Financial Services
BG,Consumer Defensive
BGC,Financial Services
BGFV,Consumer Cyclical
BHRB,Financial Services
BIDU,Communication Services
BIIB,Healthcare
BJRI,Consumer Cyclical
BK,Financial Services
BKNG,Consumer Cyclical
BKR,Energy
BKYI,Industrials
BLBD,Industrials
BLDP,Industrials
BLDR,Industrials
BLFS,Healthcare
BLIN,Technology
BLK,Financial Services
BLKB,Technology
BLMN,Consumer Cyclical
BLNK,Industrials
BLRX,Healthcare
BMRA,Healthcare
BMRC,Financial Services
BMRN,Healthcare
BMY,Healthcare
BNTC,Healthcare
BOKF,Financial Services
BOOM,Industrials
BOSC,Technology
BOTJ,Financial Services
BPOP,Financial Services
BPOPM,N/A
BR,Technology
BRFH,Consumer Defensive
BRID,Consumer Defensive
BRKL,Financial Services
BRKR,Healthcare
BRO,Financial Services
BRTX,Healthcare
BSET,Consumer Cyclical
BSGM,Healthcare
BSRR,Financial Services
BSX,Healthcare
BTCS,Financial Services
BUSE,Financial Services
BVFL,Financial Services
BWEN,Industrials
BWFG,Financial Services
BX,Financial Services
BXP,Real Estate
BYFC,Financial Services
BYRN,Industrials
C,Financial Services
CAAS,Consumer Cyclical
CAC,Financial Services
CACC,Financial Services
CAG,Consumer Defensive
CAH,Healthcare
CAKE,Consumer Cyclical
CALM,Consumer Defensive
CAMT,Technology
CAPR,Healthcare
CAPS,Basic Materials
CAR,Industrials
CARE,Financial Services
CARM,Healthcare
CARV,Financial Services
CASH,Financial Services
CASI,Healthcare
CASS,Industrials
CASY,Consumer Cyclical
CAT,Industrials
CATY,Financial Services
CB,Financial Services
CBAT,Industrials
CBFV,Financial Services
CBOE,Financial Services
CBRE,Real Estate
CBRL,Consumer Cyclical
CBSH,Financial Services
CCBG,Financial Services
CCEC,Industrials
CCEP,Consumer Defensive
CCI,Real Estate
CCL,Consumer Cyclical
CCLD,Healthcare
CCNE,Financial Services
CCOI,Communication Services
CCRN,Healthcare
CDNA,Healthcare
CDNS,Technology
CDW,Technology
CDXS,Healthcare
CDZI,Utilities
CECO,Industrials
CELH,Consumer Defensive
CENN,Consumer Cyclical
CENT,Consumer Defensive
CENTA,Consumer Defensive
CENX,Basic Materials
CERS,Healthcare
CEVA,Technology
CF,Basic Materials
CFBK,Financial Services
CFFI,Financial Services
CFFN,Financial Services
CFG,Financial Services
CG,Financial Services
CGC,Healthcare
CGEN,Healthcare
CGNX,Technology
CGO,Financial Services
CHCI,Real Estate
CHCO,Financial Services
CHD,Consumer Defensive
CHDN,Consumer Cyclical
CHEF,Consumer Defensive
CHI,Financial Services
CHKP,Technology
CHMG,Financial Services
CHNR,Industrials
CHRD,Energy
CHRS,Healthcare
CHRW,Industrials
CHSCM,Consumer Defensive
CHSCN,Consumer Defensive
CHSCO,Consumer Defensive
CHSCP,Consumer Defensive
CHTR,Communication Services
CHW,Financial Services
CHY,Financial Services
CI,Healthcare
CIGI,Real Estate
CIIT,Technology
CINF,Financial Services
CIVB,Financial Services
CL,Consumer Defensive
CLAR,Consumer Cyclical
CLDX,Healthcare
CLFD,Technology
CLIR,Industrials
CLMB,Technology
CLMT,Basic Materials
CLNE,Energy
CLPT,Healthcare
CLRB,Healthcare
CLRO,Technology
CLWT,Industrials
CLX,Consumer Defensive
CMCO,Industrials
CMCSA,Communication Services
CMCT,Real Estate
CME,Financial Services
CMG,Consumer Cyclical
CMI,Industrials
CMPR,Industrials
CMS,Utilities
CMTL,Technology
CNC,Healthcare
CNET,Communication Services
CNOB,Financial Services
CNP,Utilities
CNTY,Consumer Cyclical
CNVS,Communication Services
CNXN,Technology
COCP,Healthcare
CODA,Industrials
COF,Financial Services
COFS,Financial Services
COHU,Technology
COKE,Consumer Defensive
COLB,Financial Services
COLM,Consumer Cyclical
COMM,Technology
COO,Healthcare
COOP,Financial Services
COP,Energy
COR,Healthcare
CORT,Healthcare
COSM,Healthcare
COST,Consumer Defensive
CPAY,Technology
CPB,Consumer Defensive
CPHC,Consumer Cyclical
CPIX,Healthcare
CPRT,Industrials
CPRX,Healthcare
CPSH,Technology
CPSS,Financial Services
CPT,Real Estate
CRAI,Industrials
CRBP,Healthcare
CRDF,Healthcare
CREG,Utilities
CRESY,Industrials
CREX,Technology
CRIS,Healthcare
CRL,Healthcare
CRM,Technology
CRMD,Healthcare
CRMT,Consumer Cyclical
CRNT,Technology
CROX,Consumer Cyclical
CRTO,Communication Services
CRUS,Technology
CRVL,Financial Services
CRVO,Healthcare
CRWS,Consumer Cyclical
CSBR,Healthcare
CSCI,Healthcare
CSCO,Technology
CSGP,Real Estate
CSGS,Technology
CSIQ,Technology
CSPI,Technology
CSQ,Financial Services
CSTE,Industrials
CSWC,Financial Services
CSX,Industrials
CTAS,Industrials
CTBI,Financial Services
CTLP,Technology
CTRA,Energy
CTRN,Consumer Cyclical
CTSH,Technology
CTSO,Healthcare
CTXR,Healthcare
CUBA,Financial Services
CVBF,Financial Services
CVCO,Consumer Cyclical
CVGI,Consumer Cyclical
CVGW,Consumer Defensive
CVLT,Technology
CVS,Healthcare
CVV,Industrials
CVX,Energy
CWBC,Financial Services
CWCO,Utilities
CWST,Industrials
CYBR,Technology
CYCC,Healthcare
CYCCP,Healthcare
CYRX,Industrials
CYTK,Healthcare
CZFS,Financial Services
CZNC,Financial Services
CZR,Consumer Cyclical
CZWI,Financial Services
D,Utilities
DAIO,Technology
DAKT,Technology
DAL,Industrials
DARE,Healthcare
DBVT,Healthcare
DCOM,Financial Services
DD,Basic Materials
DE,Industrials
DECK,Consumer Cyclical
DENN,Consumer Cyclical
DG,Consumer Defensive
DGICA,Financial Services
DGICB,Financial Services
DGII,Technology
DGLY,Communication Services
DGX,Healthcare
DHC,Real Estate
DHCNI,N/A
DHI,Consumer Cyclical
DHIL,Financial Services
DHR,Healthcare
DIOD,Technology
DIS,Communication Services
DJCO,Technology
DLHC,Industrials
DLPN,Communication Services
DLR,Real Estate
DLTR,Consumer Defensive
DMAC,Healthcare
DMLP,Energy
DMRC,Technology
DOC,Real Estate
DOMH,Financial Services
DOOO,Consumer Cyclical
DORM,Consumer Cyclical
DOV,Industrials
DOX,Technology
DPZ,Consumer Cyclical
DRI,Consumer Cyclical
DRRX,Healthcare
DRS,Industrials
DSGR,Industrials
DSGX,Technology
DSWL,Technology
DTE,Utilities
DTST,Technology
DUK,Utilities
DVA,Healthcare
DVAX,Healthcare
DVN,Energy
DWSN,Energy
DXCM,Healthcare
DXLG,Consumer Cyclical
DXPE,Industrials
DXR,Healthcare
DYAI,Healthcare
EA,Communication Services
EBAY,Consumer Cyclical
EBMT,Financial Services
EBTC,Financial Services
ECL,Basic Materials
ECPG,Financial Services
ED,Utilities
EDAP,Healthcare
EDSA,Healthcare
EDUC,Communication Services
EEFT,Technology
EFOI,Consumer Cyclical
EFSC,Financial Services
EFSI,Financial Services
EFX,Industrials
EG,Financial Services
EGAN,Technology
EGBN,Financial Services
EHTH,Financial Services
EIX,Utilities
EKSO,Healthcare
EL,Consumer Defensive
ELDN,Healthcare
ELSE,Technology
ELTK,Technology
ELV,Healthcare
ELVA,Industrials
EML,Industrials
EMN,Basic Materials
EMR,Industrials
ENLV,Healthcare
ENPH,Technology
ENSG,Healthcare
ENTA,Healthcare
ENTG,Technology
EOG,Energy
EPAM,Technology
EPSN,Energy
EQIX,Real Estate
EQR,Real Estate
EQT,Energy
ERIC,Technology
ERIE,Financial Services
ERII,Industrials
ERNA,Healthcare
ES,Utilities
ESCA,Consumer Cyclical
ESEA,Industrials
ESGR,Financial Services
ESLT,Industrials
ESOA,Industrials
ESPR,Healthcare
ESS,Real Estate
ESSA,Financial Services
ETN,Industrials
ETR,Utilities
EU,Energy
EVGN,Healthcare
EVO,Healthcare
EVOK,Healthcare
EVRG,Utilities
EW,Healthcare
EWBC,Financial Services
EXAS,Healthcare
EXC,Utilities
EXEL,Healthcare
EXLS,Technology
EXPD,Industrials
EXPE,Consumer Cyclical
EXPO,Industrials
EXR,Real Estate
EXTR,Technology
EYPT,Healthcare
EZPW,Financial Services
F,Consumer Cyclical
FANG,Energy
FARM,Consumer Defensive
FARO,Technology
FAST,Industrials
FATE,Healthcare
FBIO,Healthcare
FBIZ,Financial Services
FBNC,Financial Services
FCAP,Financial Services
FCBC,Financial Services
FCCO,Financial Services
FCEL,Industrials
FCFS,Financial Services
FCNCA,Financial Services
FCUV,Technology
FCX,Basic Materials
FDBC,Financial Services
FDS,Financial Services
FDUS,Financial Services
FDX,Industrials
FE,Utilities
FEIM,Technology
FELE,Industrials
FER,Industrials
FFBC,Financial Services
FFIC,Financial Services
FFIN,Financial Services
FFIV,Technology
FGBI,Financial Services
FGEN,Healthcare
FGF,Financial Services
FI,Technology
FIBK,Financial Services
FICO,Technology
FIS,Technology
FISI,Financial Services
FITB,Financial Services
FITBI,Financial Services
FIVE,Consumer Cyclical
FIVN,Technology
FIZZ,Consumer Defensive
FKWL,Technology
FLEX,Technology
FLL,Consumer Cyclical
FLNT,Communication Services
FLWS,Consumer Cyclical
FLXS,Consumer Cyclical
FMAO,Financial Services
FMBH,Financial Services
FMNB,Financial Services
FNLC,Financial Services
FNWD,Financial Services
FOLD,Healthcare
FONR,Healthcare
FORD,Consumer Cyclical
FORM,Technology
FORR,Industrials
FORTY,Technology
FOSL,Consumer Cyclical
FOXF,Consumer Cyclical
FPAY,Industrials
FRAF,Financial Services
FRBA,Financial Services
FRD,Basic Materials
FRME,Financial Services
FRPH,Real Estate
FRPT,Consumer Defensive
FRST,Financial Services
FRT,Real Estate
FSBW,Financial Services
FSFG,Financial Services
FSK,Financial Services
FSLR,Technology
FSTR,Industrials
FTEK,Industrials
FTFT,Technology
FTLF,Consumer Defensive
FTNT,Technology
FULT,Financial Services
FUNC,Financial Services
FUND,Financial Services
FUSB,Financial Services
FWONA,Communication Services
FWONK,Communication Services
FWRD,Industrials
FXNC,Financial Services
GABC,Financial Services
GAIA,Communication Services
GAIN,Financial Services
GALT,Healthcare
GASS,Industrials
GBDC,Financial Services
GCBC,Financial Services
GCTK,Healthcare
GD,Industrials
GDEN,Consumer Cyclical
GE,Industrials
GEG,Financial Services
GEN,Technology
GEOS,Energy
GERN,Healthcare
GEVO,Basic Materials
GGAL,Financial Services
GIFI,Industrials
GIGM,Communication Services
GIII,Consumer Cyclical
GILD,Healthcare
GILT,Technology
GIS,Consumer Defensive
GL,Financial Services
GLAD,Financial Services
GLBS,Industrials
GLBZ,Financial Services
GLDD,Industrials
GLMD,Healthcare
GLNG,Energy
GLPG,Healthcare
GLPI,Real Estate
GLRE,Financial Services
GLW,Technology
GLYC,Healthcare
GM,Consumer Cyclical
GMAB,Healthcare
GMGI,Communication Services
GNRC,Industrials
GNSS,Technology
GNTX,Consumer Cyclical
GOGL,Industrials
GOGO,Communication Services
GOOD,Real Estate
GOOG,Communication Services
GOOGL,Communication Services
GPC,Consumer Cyclical
GPN,Industrials
GPRE,Basic Materials
GPRO,Technology
GRCE,Healthcare
GREE,Financial Services
GRFS,Healthcare
GRMN,Technology
GROW,Financial Services
GRPN,Communication Services
GRVY,Communication Services
GS,Financial Services
GSAT,Communication Services
GSBC,Financial Services
GSIT,Technology
GSM,Basic Materials
GT,Consumer Cyclical
GTIM,Consumer Cyclical
GURE,Basic Materials
GWW,Industrials
GYRE,Healthcare
HAFC,Financial Services
HAIN,Consumer Defensive
HAL,Energy
HALO,Healthcare
HAS,Consumer Cyclical
HBAN,Financial Services
HBCP,Financial Services
HBIO,Healthcare
HBNC,Financial Services
HCA,Healthcare
HCKT,Technology
HCSG,Healthcare
HD,Consumer Cyclical
HDSN,Basic Materials
HELE,Consumer Defensive
HES,Energy
HFBL,Financial Services
HFWA,Financial Services
HGBL,Financial Services
HHS,Industrials
HIFS,Financial Services
HIG,Financial Services
HIHO,Industrials
HII,Industrials
HIMX,Technology
HIVE,Financial Services
HLIT,Technology
HLT,Consumer Cyclical
HMST,Financial Services
HNNA,Financial Services
HNRG,Energy
HOFT,Consumer Cyclical
HOLX,Healthcare
HON,Industrials
HOPE,Financial Services
HOVNP,N/A
HPQ,Technology
HQI,Industrials
HQY,Healthcare
HRL,Consumer Defensive
HROW,Healthcare
HRTX,Healthcare
HRZN,Financial Services
HSDT,Healthcare
HSIC,Healthcare
HSII,Industrials
HSON,Industrials
HST,Real Estate
HSTM,Healthcare
HSY,Consumer Defensive
HTBK,Financial Services
HTHT,Consumer Cyclical
HTLD,Industrials
HTO,Utilities
HUBB,Industrials
HUBG,Industrials
HUM,Healthcare
HURA,Healthcare
HURC,Industrials
HURN,Industrials
HWBK,Financial Services
HWC,Financial Services
HWKN,Basic Materials
IAC,Communication Services
IART,Healthcare
IBCP,Financial Services
IBIO,Healthcare
IBKR,Financial Services
IBM,Technology
IBOC,Financial Services
ICAD,Healthcare
ICCC,Healthcare
ICE,Financial Services
ICFI,Industrials
ICLR,Healthcare
ICMB,Financial Services
ICUI,Healthcare
IDCC,Technology
IDN,Technology
IDXX,Healthcare
IEP,Energy
IESC,Industrials
IEX,Industrials
IFF,Basic Materials
III,Technology
ILMN,Healthcare
IMKTA,Consumer Defensive
IMMP,Healthcare
IMMR,Technology
IMNN,Healthcare
IMOS,Technology
IMUX,Healthcare
INBK,Financial Services
INCY,Healthcare
INDB,Financial Services
INDV,Healthcare
INGN,Healthcare
INM,Healthcare
INO,Healthcare
INOD,Technology
INSE,Consumer Cyclical
INSG,Technology
INSM,Healthcare
INTC,Technology
INTG,Consumer Cyclical
INTU,Technology
INTZ,Technology
INVA,Healthcare
INVE,Industrials
IONS,Healthcare
IOSP,Basic Materials
IOVA,Healthcare
IP,Consumer Cyclical
IPA,Healthcare
IPAR,Consumer Defensive
IPDN,Industrials
IPG,Communication Services
IPGP,Technology
IPM,Technology
IPWR,Industrials
IQV,Healthcare
IRBT,Consumer Cyclical
IRD,Healthcare
IRDM,Communication Services
IRIX,Healthcare
IRM,Real Estate
IRMD,Healthcare
IROQ,Financial Services
IRWD,Healthcare
ISBA,Financial Services
ISRG,Healthcare
ISSC,Industrials
ISTR,Financial Services
IT,Technology
ITIC,Financial Services
ITRI,Technology
ITRN,Technology
ITW,Industrials
IVDA,Industrials
IVZ,Financial Services
IZEA,Communication Services
J,Industrials
JACK,Consumer Cyclical
JAKK,Consumer Cyclical
JAZZ,Healthcare
JBHT,Industrials
JBL,Technology
JBLU,Industrials
JBSS,Consumer Defensive
JCI,Industrials
JCTC,Basic Materials
JD,Consumer Cyclical
JJSF,Consumer Defensive
JKHY,Technology
JNJ,Healthcare
JNPR,Technology
JOUT,Consumer Cyclical
JOYY,Communication Services
JPM,Financial Services
JRVR,Financial Services
JSM,N/A
JVA,Consumer Defensive
JXG,Consumer Cyclical
JYNT,Healthcare
K,Consumer Defensive
KALU,Basic Materials
KDP,Consumer Defensive
KE,Industrials
KELYA,Industrials
KELYB,Industrials
KEQU,Consumer Cyclical
KEY,Financial Services
KEYS,Technology
KFFB,Financial Services
KG,Financial Services
KGEI,Energy
KIM,Real Estate
KINS,Financial Services
KIRK,Consumer Cyclical
KKR,Financial Services
KLAC,Technology
KLIC,Technology
KMB,Consumer Defensive
KMDA,Healthcare
KMI,Energy
KMX,Consumer Cyclical
KNDI,Consumer Cyclical
KO,Consumer Defensive
KOPN,Technology
KOSS,Technology
KPTI,Healthcare
KR,Consumer Defensive
KRMD,Healthcare
KRNY,Financial Services
KTCC,Technology
KTOS,Industrials
KVHI,Communication Services
KZIA,Healthcare
L,Financial Services
LAB,Healthcare
LAKE,Consumer Cyclical
LAMR,Real Estate
LANC,Consumer Defensive
LAND,Real Estate
LARK,Financial Services
LBRDA,Communication Services
LBRDK,Communication Services
LBTYA,Communication Services
LBTYB,Communication Services
LBTYK,Communication Services
LCNB,Financial Services
LCUT,Consumer Cyclical
LDOS,Technology
LDWY,Communication Services
LE,Consumer Cyclical
LECO,Industrials
LEDS,Technology
LEE,Communication Services
LEN,Consumer Cyclical
LFCR,Healthcare
LFMD,Healthcare
LFUS,Technology
LFVN,Consumer Defensive
LFWD,Healthcare
LGIH,Consumer Cyclical
LGND,Healthcare
LGO,Basic Materials
LH,Healthcare
LHX,Industrials
LII,Industrials
LIN,Basic Materials
LINC,Consumer Defensive
LIND,Consumer Cyclical
LINK,Technology
LIQT,Industrials
LIVE,Consumer Cyclical
LIXT,Healthcare
